what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704650561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704653165
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704656333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704657093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313704657774
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704658697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704660463
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704660926
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704663317
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704676955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704680555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704693663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704695101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704700891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704702302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704708363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704732115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704765056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313704785059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704787817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704788396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704792272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704795214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704832472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704835277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313704846275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313704846817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704848880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313704871363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313704884855
