what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714095036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714096568
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714111874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1313714111882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714114216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714125935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714126330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714128036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714133019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714450040
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1313714452078
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1313714454408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714457677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714461260
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1313714461268
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313714461845
error,log,,,"Invalid ZIP archive: native/jxinput.dll [in ROVClient]",1313714461858
error,log,,,"Invalid ZIP archive: native/jxinput.dll [in ROVClient]",1313714461883
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714462914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714464448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714466595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313714469259
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1313714469266
error,log,,,"Invalid ZIP archive: native/jxinput.dll [in ROVClient]",1313714469803
